Common name,Extinct,Critically endangered,Endangered,Vulnerable,Near threatened,Not threatened,Total,Total threatened
Stoneflies,9,1,1,7,1,1,20,19
Reptiles,0,1,1,3,1,1,7,6
Butterflies,15,12,10,7,3,29,76,47
Mayflies,14,3,1,5,16,21,60,39
Bees,46,30,42,38,25,150,331,181
Caddis flies,9,15,8,23,29,74,158,84
Amphibians,0,1,3,3,1,8,16,8
Molluscs,5,7,18,30,9,93,162,69
Fishes,4,4,5,14,15,63,105,42
marine fishes,3,3,3,4,10,42,65,23
fresh water and migratory fishes,1,1,2,10,5,21,40,19
Mammals,4,2,2,8,3,29,48,19
Birds,9,10,12,19,37,109,196,87
Flatworms,0,0,2,2,0,7,11,4
Dragonflies,5,4,6,6,2,42,65,23
Grasshoppers and Crickets,3,4,0,3,4,30,44,14
