Aantal_kasten,Aantal_volken,LNG,LAT
1 kast/volk,1,4.9010179,52.3672606
1 kast/volk,1,4.9048221,52.3603751
1 kast/volk,1,4.9163749,52.3646094
1 kast/volk,1,4.877600900000001,52.38508289999999
2 kasten/volken,2,4.867975,52.3829924
6 kasten/volken,6,4.849490900000001,52.375092200000005
5 kasten/volken,5,4.856107,52.3707816
14 kasten/volken,14,4.8364642,52.3349578
4 kasten/volken,4,4.865356200000001,52.355900399999996
1 kast/volk,1,4.8746002,52.3358542
20 kasten/volken,20,4.8934019,52.3232886
2 kasten/volken,2,4.9737952000000005,52.356671
5 kasten/volken,5,4.911744799999999,52.3966033
4 kasten/volken,4,4.8809420999999995,52.4218222
1 kast/volk,1,4.9024789,52.4015814
2 kasten/volken,2,4.9085209,52.3999259
1 kast/volk,1,4.920494799999999,52.3832938
30 kasten/volken,30,4.96194,52.386772799999996
4 kasten/volken,4,4.953740799999999,52.3027083
21 kasten/volken,21,4.926379900000001,52.4050109
2 kasten/volken,2,4.9002278,52.3763625
10 kasten/volken,10,4.783964900000001,52.360054600000005
6 + 2 kleintjes kasten/volken,6,4.7717068,52.379090000000005
120 kasten/volken,120,4.7774508,52.3747145
3 kasten/volken,3,4.8660991,52.387638700000004
2 kasten/volken,2,4.8745810999999994,52.336266200000004
3 kasten/volken,3,4.9155509,52.332997
14 kasten/volken,14,4.9283621,52.349713
1 kast/volk,1,4.8926599,52.3491713
6 kasten/volken,6,4.835212,52.36015
1 kast/volk,1,4.9282272,52.369850799999995
5 kasten/volken,5,4.882292,52.3639723
4 kasten/volken,4,4.8893688,52.365227399999995
7 kasten/volken,7,4.864196099999999,52.387119899999995
7 kasten/volken,7,4.988294799999999,52.3274924
9 kasten/volken,9,5.0004714,52.310044899999994
5 kasten/volken,5,4.868981099999999,52.386135700000004
3 kasten/volken,3,4.90747,52.3666655
10 kasten/volken,10,4.9721858,52.305679999999995
20 kasten/volken,20,4.986560099999999,52.3767401
20 kasten/volken,20,4.9546549,52.385121000000005
12 kasten/volken,12,4.9291279,52.352169700000005
1 kast/volk,1,4.850905200000001,52.384426700000006
1 kast/volk,1,4.853317,52.3768355
1 kast/volk,1,4.9120848,52.3813063
1 kast/volk,1,4.8544719,52.3871123
3 kasten/volken,3,4.8347218000000005,52.386536299999996
8 kasten/volken,8,4.748499099999999,52.4018141
3 kasten/volken,3,4.804312,52.3902365
2 kasten/volken,2,4.773886900000001,52.4573485
16 kasten/volken,16,4.8158739,52.3410765
3 kasten/volken,3,4.781936900000001,52.373093299999994
60 kasten/volken,60,4.879236,52.290962799999996
12 kasten/volken,12,4.894851,52.3222777
20 kasten/volken,20,4.828859099999999,52.335350700000006
2 kasten/volken,2,4.843808900000001,52.369007700000004
14 kasten/volken,14,4.856906200000001,52.3247305
6 kasten/volken,6,4.8098271,52.3310286
1 kast/volk,1,4.8657029000000005,52.3600928
1 kast/volk,1,4.8946459,52.354077000000004
1 kast/volk,1,4.8641941,52.3685614
7 kasten/volken,7,4.8457968000000005,52.3684851
3 kasten/volken,3,4.9641612,52.289231
1 kast/volk,1,4.9014819,52.3718268
2 kasten/volken,2,4.885443,52.3683364
1 kast/volk,1,4.8263352,52.230641
8 kasten/volken,8,4.8489888,52.3074042
1 kast/volk,1,4.863113200000001,52.285958
4 kasten/volken,4,4.8513991999999995,52.2765395
6 kasten/volken,6,4.9567439,52.3484427
5 kasten/volken,5,4.9011691,52.3427512
2 kasten/volken,2,4.799711,52.3382308
1 kast/volk,1,4.8801119,52.3414237
1 kast/volk,1,4.8516538,52.3650061
12 kasten/volken,12,4.9386041,52.3403899
2 kasten/volken,2,5.002105,52.3453528
1 kast/volk,1,4.875331200000001,52.3373419
10 kasten/volken,10,5.003589900000001,52.309361100000004
2 kasten/volken,2,4.973493799999999,52.359032299999996
13 kasten/volken,13,4.824722,52.314415600000004
7 kasten/volken,7,4.8180339000000005,52.2880599
1 kast/volk,1,4.918532099999999,52.3702971
2 kasten/volken,2,4.894417,52.3415915
3 kasten/volken,3,4.856834200000001,52.362747799999994
2 kasten/volken,2,4.965586900000001,52.3723342
3 kasten/volken,3,4.9010689,52.3142897
3 kasten/volken,3,4.876576200000001,52.304306700000005
3 kasten/volken,3,4.9022062,52.2961089
1 kast/volk,1,4.868697900000001,52.280770000000004
3 kasten/volken,3,4.896341099999999,52.3374487
2 kasten/volken,2,4.8268912,52.345928799999996
1 kast/volk,1,4.8146732000000005,52.345459600000005
2 kasten/volken,2,4.893170099999999,52.4181143
3 kasten/volken,3,4.9190972,52.365429600000006
2 kasten/volken,2,4.7684829,52.3332984
2 kasten/volken,2,4.9608238,52.403504
14 kasten/volken,14,4.7850239000000006,52.3750235
4 kasten/volken,4,4.7503687999999995,52.4107939
1 kast/volk,1,4.93309,52.401062599999996
1 kast/volk,1,4.991043799999999,52.359467200000005
1 kast/volk,1,4.8477981,52.3866698
2 kasten/volken,2,4.902450099999999,52.3604203
4 kasten/volken,4,4.7835102,52.3818468
2 kasten/volken,2,4.870809700000001,52.379075799999995
12 kasten/volken,12,4.8974497999999995,52.3369675
3 kasten/volken,3,4.9544788,52.35276339999999
2 kasten/volken,2,4.9041179,52.370357399999996
2 kasten/volken,2,4.8959532,52.369230200000004
